이름,전화번호,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
임지민,010-5103-3312,43,self-employed,divorced,secondary,no,347,no,no,cellular,19,nov,1468,3,-1,0,unknown,yes
한시우,010-8801-1196,38,management,married,tertiary,no,1223,no,no,cellular,12,aug,1092,5,-1,0,unknown,yes
강주원,010-8470-2876,38,admin.,married,secondary,no,1767,yes,no,cellular,12,nov,893,7,-1,0,unknown,yes
임지원,010-0992-4674,31,unemployed,divorced,primary,no,0,yes,no,unknown,30,may,745,12,-1,0,unknown,yes
송다은,010-1386-9957,54,technician,married,secondary,no,473,no,yes,cellular,2,nov,182,1,81,1,failure,yes
윤예은,010-0072-9073,34,entrepreneur,married,secondary,no,3119,yes,no,unknown,21,may,250,4,-1,0,unknown,no
송채원,010-4079-4087,50,entrepreneur,married,tertiary,no,-168,yes,no,cellular,23,jul,1327,2,-1,0,unknown,yes
오준서,010-9192-1583,34,admin.,married,secondary,no,2064,yes,no,unknown,26,may,165,2,-1,0,unknown,no
홍민서,010-8219-2423,49,admin.,single,secondary,no,716,yes,no,unknown,15,may,1257,3,-1,0,unknown,yes
한하준,010-1372-5918,41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,460,1,-1,0,unknown,yes
송민준,010-2384-6045,52,technician,married,secondary,no,930,yes,no,unknown,2,jun,94,16,-1,0,unknown,no
정하윤,010-6245-5158,47,management,single,tertiary,no,255,no,yes,cellular,30,jul,802,4,-1,0,unknown,yes
김지원,010-6637-8174,31,management,single,tertiary,no,1761,yes,no,telephone,29,jul,332,3,440,3,failure,yes
황민준,010-9230-3543,37,management,single,tertiary,no,876,yes,no,cellular,15,apr,140,4,327,2,failure,no
윤지원,010-7744-2015,56,housemaid,married,primary,no,445,no,no,cellular,21,nov,13,6,-1,0,unknown,no
조주원,010-6740-3463,30,entrepreneur,married,secondary,no,12737,no,yes,cellular,19,nov,589,2,-1,0,unknown,yes
윤은서,010-3335-0759,37,admin.,married,secondary,no,96,no,no,cellular,7,aug,155,1,99,2,success,yes
장하윤,010-2147-5904,50,entrepreneur,married,secondary,no,2731,no,no,cellular,8,aug,111,2,-1,0,unknown,no
오민준,010-8452-7901,36,technician,single,secondary,no,2511,yes,no,cellular,16,apr,700,5,-1,0,unknown,yes
강준서,010-4577-1678,28,technician,single,secondary,no,2335,no,no,cellular,13,may,624,1,-1,0,unknown,yes
류지원,010-5647-3191,45,admin.,married,secondary,no,1097,yes,yes,cellular,2,feb,174,1,208,1,failure,no
정예준,010-4215-9254,36,management,single,unknown,no,62,no,no,cellular,13,jul,311,1,91,2,success,yes
신도윤,010-2007-9893,29,unemployed,single,unknown,no,1584,no,no,cellular,6,sep,245,1,-1,0,unknown,yes
장준서,010-0352-5170,45,blue-collar,single,secondary,no,0,yes,no,cellular,16,oct,283,1,165,3,failure,no
오민서,010-3072-8978,34,admin.,married,secondary,no,-312,yes,no,unknown,9,may,232,1,-1,0,unknown,no
윤지민,010-3403-3862,31,services,single,secondary,no,1709,no,yes,telephone,28,jan,944,3,-1,0,unknown,yes
류민준,010-8350-3002,60,retired,married,secondary,no,938,no,no,cellular,13,jan,380,3,-1,0,unknown,yes
임지원,010-9518-8991,37,management,married,tertiary,no,5016,no,no,cellular,8,aug,119,1,-1,0,unknown,no
황지유,010-0268-6340,36,technician,married,secondary,no,3579,no,no,cellular,14,aug,308,2,-1,0,unknown,no
한시우,010-1817-4262,60,retired,married,secondary,no,0,yes,no,unknown,15,may,229,1,-1,0,unknown,no
조소율,010-1780-3506,35,blue-collar,married,primary,no,624,yes,no,unknown,7,may,163,1,-1,0,unknown,no
김지호,010-2004-0490,61,retired,married,secondary,no,77,no,no,cellular,6,aug,455,4,-1,0,unknown,yes
윤다은,010-5911-5530,31,admin.,single,secondary,no,81,yes,no,cellular,23,apr,215,2,165,11,other,no
류예준,010-3675-9773,46,management,married,tertiary,no,273,yes,no,cellular,15,sep,1962,1,105,3,failure,yes
송유진,010-2323-0245,47,technician,divorced,secondary,no,1851,yes,no,unknown,19,may,140,2,-1,0,unknown,no
강지유,010-2057-4819,43,blue-collar,married,primary,no,8,no,no,telephone,7,jul,245,5,-1,0,unknown,no
권윤서,010-3729-4021,59,management,divorced,tertiary,no,1304,no,no,unknown,18,jun,220,1,-1,0,unknown,no
임지우,010-9492-6443,47,blue-collar,married,primary,no,4040,no,no,cellular,11,aug,53,5,-1,0,unknown,no
최예준,010-0608-5340,43,management,married,tertiary,no,839,no,no,cellular,22,jul,942,1,-1,0,unknown,yes
류지유,010-5012-4350,57,management,married,tertiary,no,3431,yes,no,unknown,16,may,73,1,-1,0,unknown,no
이하준,010-1360-4280,57,technician,married,secondary,no,295,no,no,cellular,19,aug,151,11,-1,0,unknown,no
김지아,010-8086-4079,53,entrepreneur,single,secondary,no,62,yes,no,unknown,30,may,1044,5,-1,0,unknown,yes
서지후,010-8940-2794,80,retired,married,primary,no,2994,no,no,cellular,6,aug,320,1,-1,0,unknown,no
박민준,010-7271-7186,39,management,married,tertiary,no,271,yes,no,cellular,12,aug,1344,1,-1,0,unknown,yes
류수아,010-5783-4985,41,blue-collar,single,unknown,no,961,yes,no,unknown,29,may,117,1,-1,0,unknown,no
홍예준,010-3373-1829,42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,5,-1,0,unknown,yes
정하윤,010-4457-5965,35,management,single,tertiary,no,538,no,no,cellular,22,dec,410,3,165,2,other,yes
서지민,010-9315-9508,38,management,married,tertiary,no,1463,yes,no,cellular,25,aug,425,4,-1,0,unknown,no
서지아,010-6701-1260,48,unknown,single,unknown,no,1819,no,no,cellular,2,sep,1440,1,458,1,failure,yes
송소율,010-4241-0185,66,retired,married,secondary,no,2326,no,yes,cellular,18,feb,232,1,181,1,success,yes
강지유,010-2331-7586,30,management,married,tertiary,no,131,yes,no,cellular,11,aug,384,6,-1,0,unknown,yes
윤소율,010-8843-5003,47,blue-collar,married,secondary,no,8229,no,no,cellular,8,aug,784,2,-1,0,unknown,yes
권지아,010-9205-7123,38,services,married,secondary,no,968,yes,no,cellular,6,apr,272,1,-1,0,unknown,no
황소율,010-5823-7110,57,retired,married,primary,no,207,yes,no,unknown,8,may,193,1,-1,0,unknown,no
김서준,010-4659-1430,32,services,single,secondary,no,182,yes,no,cellular,6,may,145,1,-1,0,unknown,no
한채원,010-1403-7852,61,blue-collar,married,primary,no,5,no,no,cellular,6,aug,562,2,94,3,success,yes
강민서,010-3280-2440,51,blue-collar,married,tertiary,no,7816,yes,no,unknown,12,may,76,2,-1,0,unknown,no
황하준,010-1846-6693,48,management,married,tertiary,no,1167,yes,yes,cellular,1,jun,264,1,-1,0,unknown,yes
조하준,010-0829-0539,39,services,married,secondary,no,25,yes,yes,cellular,12,may,658,1,351,3,failure,yes
안도윤,010-7862-4431,45,admin.,divorced,secondary,no,2353,yes,no,cellular,5,mar,182,1,107,2,other,yes
서예준,010-7285-7484,22,student,single,secondary,no,2162,no,no,telephone,2,feb,168,1,-1,0,unknown,no
권민서,010-6798-4779,36,unemployed,single,tertiary,no,221,no,no,cellular,3,feb,225,4,-1,0,unknown,no
박민준,010-1994-8380,32,blue-collar,married,secondary,no,3166,yes,no,cellular,20,nov,418,3,-1,0,unknown,no
오준서,010-6680-1890,27,student,single,tertiary,no,311,no,no,cellular,28,jul,462,1,148,4,success,yes
홍지아,010-8260-1276,47,management,married,tertiary,no,60,no,no,unknown,2,jun,282,7,-1,0,unknown,no
신주원,010-7387-2706,55,retired,married,tertiary,no,2929,no,no,unknown,16,jun,556,3,-1,0,unknown,no
황서윤,010-1271-9589,34,management,single,tertiary,no,5,no,no,cellular,18,aug,370,2,-1,0,unknown,yes
류지아,010-9133-6405,45,blue-collar,married,secondary,no,61,yes,yes,unknown,23,may,208,1,-1,0,unknown,no
조하준,010-2649-2659,41,technician,married,secondary,no,188,no,yes,telephone,31,jul,15,25,-1,0,unknown,no
서서윤,010-6547-6427,65,retired,married,primary,no,343,no,no,telephone,5,feb,159,2,-1,0,unknown,no
한지호,010-6247-9221,47,retired,married,secondary,no,-71,yes,no,cellular,11,aug,293,5,-1,0,unknown,no
임지민,010-0977-9981,39,management,single,secondary,no,120,no,no,unknown,12,jun,66,1,-1,0,unknown,no
한하윤,010-4760-3492,38,technician,single,tertiary,no,5122,yes,no,cellular,20,nov,370,1,184,1,failure,no
박윤서,010-3020-4973,50,unemployed,married,secondary,no,3674,yes,no,unknown,30,may,886,3,-1,0,unknown,yes
한하준,010-9819-1146,38,technician,married,secondary,no,497,no,no,unknown,14,apr,173,1,-1,0,unknown,yes
한채원,010-2238-9824,34,management,married,tertiary,no,0,yes,no,cellular,3,feb,251,1,-1,0,unknown,yes
강수아,010-3827-4030,52,technician,married,secondary,no,475,yes,no,cellular,28,jul,121,3,-1,0,unknown,no
이도윤,010-1611-2843,46,blue-collar,married,secondary,no,640,yes,no,cellular,12,mar,215,1,182,4,success,yes
한서윤,010-8420-2879,70,retired,divorced,primary,no,482,no,no,telephone,14,jan,372,1,196,2,success,yes
조준서,010-8295-4844,47,blue-collar,single,unknown,no,2443,no,no,unknown,18,jun,422,1,-1,0,unknown,no
정예준,010-4009-5078,93,retired,married,unknown,no,775,no,no,cellular,4,aug,476,2,13,9,success,yes
한민준,010-5689-2788,54,technician,single,secondary,no,224,no,no,cellular,5,aug,134,2,-1,0,unknown,no
조서윤,010-3123-3357,48,services,single,primary,no,-139,no,no,cellular,13,may,75,2,-1,0,unknown,no
송유진,010-7688-6933,33,management,single,tertiary,no,5437,no,no,cellular,7,oct,201,1,58,3,failure,yes
정예준,010-2150-8652,77,retired,married,secondary,no,9601,no,no,telephone,27,mar,515,1,-1,0,unknown,yes
임준서,010-4691-9994,26,blue-collar,single,secondary,no,-46,yes,no,unknown,20,jun,382,7,-1,0,unknown,yes
임지유,010-2553-7745,56,admin.,married,secondary,no,5310,no,no,unknown,19,jun,74,1,-1,0,unknown,no
이서연,010-4746-0862,52,blue-collar,divorced,primary,no,2800,no,no,unknown,19,jun,149,1,-1,0,unknown,no
김은서,010-7031-7966,26,unemployed,single,tertiary,no,3466,no,no,cellular,6,oct,275,2,-1,0,unknown,yes
김지호,010-0431-7727,36,housemaid,single,secondary,no,1015,yes,no,cellular,18,may,1008,1,347,2,success,yes
정민서,010-3942-7748,49,management,married,tertiary,no,2139,no,no,cellular,5,aug,278,1,-1,0,unknown,no
신주원,010-8749-7750,31,blue-collar,married,secondary,no,1779,yes,no,unknown,5,jun,85,2,-1,0,unknown,no
안하은,010-0982-7377,56,management,married,primary,no,7747,no,no,unknown,5,jun,103,2,-1,0,unknown,no
한민서,010-5373-9591,31,entrepreneur,single,secondary,no,0,no,no,telephone,13,nov,160,1,-1,0,unknown,yes
이하은,010-6124-8574,90,retired,divorced,secondary,no,1,no,no,cellular,13,feb,152,3,-1,0,unknown,yes
장채원,010-4132-6523,40,services,single,secondary,no,19343,yes,no,cellular,21,nov,13,4,179,4,failure,no
김은서,010-0757-6461,30,services,married,secondary,no,271,yes,no,unknown,15,may,365,1,-1,0,unknown,no
송소율,010-9037-9027,41,technician,divorced,secondary,no,75,no,no,cellular,20,aug,351,2,-1,0,unknown,no
장지호,010-9939-9890,47,unknown,married,unknown,no,677,no,no,cellular,30,apr,900,2,86,2,failure,yes
황지후,010-8028-3234,30,entrepreneur,single,secondary,no,732,no,no,cellular,3,feb,1404,4,-1,0,unknown,yes
윤수아,010-6915-5607,53,blue-collar,married,secondary,no,974,yes,no,unknown,26,may,197,2,-1,0,unknown,no
이서준,010-6925-4973,36,management,married,tertiary,no,255,no,no,cellular,22,may,970,2,92,2,other,yes
강다은,010-9181-8440,47,unemployed,divorced,secondary,no,947,no,no,cellular,5,feb,124,2,-1,0,unknown,no
권하윤,010-5694-9159,40,technician,divorced,secondary,no,0,no,no,cellular,7,aug,674,2,-1,0,unknown,yes
오지유,010-1738-5227,46,blue-collar,married,secondary,no,1147,yes,no,cellular,20,apr,720,1,-1,0,unknown,yes
장주원,010-4799-6308,60,blue-collar,married,secondary,no,19447,yes,no,telephone,9,jul,196,1,-1,0,unknown,no
송윤서,010-2105-1794,57,housemaid,married,primary,no,260,yes,no,unknown,16,may,38,3,-1,0,unknown,no
오준서,010-6035-3696,72,self-employed,married,tertiary,no,132,no,no,cellular,1,jul,260,2,65,1,success,yes
신준서,010-4479-8477,41,management,married,tertiary,no,1092,no,no,cellular,5,aug,736,1,-1,0,unknown,yes
오지아,010-2059-3032,27,management,single,tertiary,no,107,no,no,cellular,18,oct,767,3,-1,0,unknown,yes
김예준,010-2737-6405,38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
황지후,010-9205-4670,51,unemployed,married,secondary,no,234,no,no,cellular,22,aug,735,1,-1,0,unknown,yes
김지호,010-5010-8254,50,self-employed,married,secondary,no,10052,no,no,cellular,13,aug,665,2,-1,0,unknown,yes
황지원,010-4007-9588,45,blue-collar,married,secondary,no,28,no,yes,cellular,4,feb,215,1,222,1,other,no
윤지후,010-5250-4069,39,admin.,single,secondary,no,14,yes,yes,unknown,13,may,19,9,-1,0,unknown,no
권민준,010-1723-0798,52,housemaid,married,primary,no,10943,no,no,cellular,16,sep,292,1,-1,0,unknown,yes
조서연,010-5238-1229,73,retired,married,primary,no,542,no,no,telephone,29,apr,107,5,-1,0,unknown,no
조지원,010-0780-6120,37,blue-collar,single,secondary,no,133,yes,no,cellular,11,may,1388,2,-1,0,unknown,yes
윤지후,010-8665-6706,36,self-employed,single,tertiary,no,-103,yes,yes,telephone,17,oct,3253,1,-1,0,unknown,yes
권수아,010-2027-3705,51,unemployed,divorced,tertiary,no,0,no,no,cellular,31,jul,574,2,-1,0,unknown,yes
정소율,010-4308-3109,49,management,married,tertiary,no,1808,yes,no,cellular,1,jun,205,1,95,1,success,yes
권서윤,010-7050-8829,29,admin.,single,secondary,no,27,yes,no,cellular,6,may,754,1,-1,0,unknown,yes
한지우,010-0708-9139,32,blue-collar,single,secondary,no,799,no,yes,cellular,23,jul,2078,6,-1,0,unknown,yes
이서현,010-8919-5943,33,admin.,married,secondary,no,920,no,no,cellular,13,aug,111,1,105,1,success,no
강준서,010-1104-2864,39,blue-collar,married,secondary,no,39,yes,no,unknown,18,jun,34,6,-1,0,unknown,no
오하윤,010-4234-2432,52,management,married,tertiary,no,499,no,no,cellular,6,aug,115,4,-1,0,unknown,no
강지호,010-1385-3494,56,retired,divorced,primary,no,694,no,no,cellular,29,jan,144,1,102,1,other,yes
강예은,010-6562-5172,31,management,married,tertiary,no,1331,no,no,cellular,3,feb,182,2,90,1,success,yes
권하윤,010-2769-4676,38,services,single,primary,no,-87,yes,no,cellular,13,may,531,1,-1,0,unknown,no
윤민준,010-0639-2624,61,retired,married,secondary,no,243,no,no,cellular,20,apr,194,1,-1,0,unknown,yes
권은서,010-6157-7525,45,admin.,married,secondary,no,1206,no,no,telephone,8,feb,309,1,446,3,failure,yes
황유진,010-1337-4862,35,blue-collar,single,primary,no,-276,yes,no,cellular,13,may,850,1,-1,0,unknown,yes
권지호,010-4613-3120,43,services,married,secondary,no,2145,no,no,cellular,22,may,271,1,183,3,failure,yes
최지유,010-6263-5846,36,management,married,tertiary,no,242,yes,no,cellular,14,may,20,1,-1,0,unknown,no
윤윤서,010-7205-6615,38,management,married,tertiary,no,0,yes,no,cellular,30,apr,571,1,-1,0,unknown,yes
조다은,010-9985-9696,44,blue-collar,single,secondary,no,712,yes,yes,cellular,6,apr,740,3,-1,0,unknown,yes
안하윤,010-3788-1626,38,blue-collar,single,secondary,no,1121,no,no,unknown,18,jun,203,1,-1,0,unknown,no
서윤서,010-2569-9331,34,blue-collar,divorced,secondary,no,383,yes,no,unknown,13,may,2231,1,-1,0,unknown,yes
오서현,010-0685-4397,59,management,married,tertiary,no,2239,no,no,cellular,22,may,431,1,-1,0,unknown,yes
류시우,010-6876-1624,25,management,single,tertiary,no,943,no,no,cellular,30,apr,512,1,-1,0,unknown,yes
신주원,010-0718-3398,25,management,single,tertiary,no,490,no,no,cellular,7,sep,394,1,-1,0,unknown,no
조지호,010-6533-3197,66,admin.,divorced,secondary,no,220,no,no,cellular,28,aug,283,1,-1,0,unknown,no
장주원,010-2015-9588,54,technician,single,tertiary,no,118,no,no,cellular,5,apr,280,1,-1,0,unknown,yes
신예준,010-2973-5404,49,blue-collar,married,secondary,no,1127,yes,yes,cellular,17,apr,162,2,281,1,failure,no
김민준,010-6834-4535,47,management,married,primary,no,4151,yes,no,unknown,14,may,114,1,-1,0,unknown,no
송민준,010-6645-1845,40,blue-collar,married,secondary,no,1451,no,no,cellular,1,jun,314,1,-1,0,unknown,yes
임하준,010-8430-1983,51,retired,married,primary,no,1495,no,no,telephone,25,jul,1946,4,-1,0,unknown,yes
송은서,010-1162-0411,31,management,single,tertiary,no,307,no,no,cellular,8,jul,361,1,229,2,failure,yes
장도윤,010-9000-3986,39,management,single,tertiary,no,763,no,no,cellular,22,feb,543,1,189,1,failure,yes
황지우,010-4811-2531,50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,615,3,34,1,failure,yes
류민서,010-6022-8944,39,blue-collar,married,primary,no,34,yes,no,unknown,27,may,114,1,-1,0,unknown,no
임하은,010-0804-5237,30,technician,single,tertiary,no,0,no,no,cellular,22,aug,34,2,-1,0,unknown,no
서하은,010-1397-6099,60,retired,married,tertiary,no,0,no,no,cellular,25,aug,101,3,-1,0,unknown,no
홍하준,010-2577-2747,30,technician,single,secondary,no,9645,no,yes,cellular,26,aug,130,10,-1,0,unknown,no
임민서,010-3461-4439,47,housemaid,divorced,primary,no,1405,no,no,unknown,12,jun,127,1,-1,0,unknown,no
최준서,010-2593-9358,42,management,married,tertiary,no,976,no,no,cellular,19,aug,164,1,-1,0,unknown,yes
강지유,010-6484-5967,32,management,single,tertiary,no,131,no,no,unknown,3,jun,267,3,-1,0,unknown,no
임준서,010-1832-7842,31,unemployed,single,secondary,no,582,yes,no,cellular,5,jun,548,2,-1,0,unknown,yes
한다은,010-6915-8735,38,blue-collar,married,primary,no,178,yes,no,unknown,20,may,245,1,-1,0,unknown,no
황지유,010-8652-9959,31,technician,married,secondary,no,450,no,yes,cellular,20,nov,111,2,129,4,failure,no
한지민,010-3779-7008,32,unemployed,married,secondary,no,365,yes,no,cellular,30,jan,210,3,-1,0,unknown,no
윤지원,010-7758-9290,30,management,single,tertiary,no,2708,no,no,cellular,19,nov,479,1,-1,0,unknown,no
안수아,010-7855-2787,32,admin.,divorced,secondary,no,-331,yes,yes,unknown,26,may,130,3,-1,0,unknown,no
신서연,010-4535-3059,36,blue-collar,married,secondary,no,3935,yes,yes,unknown,27,may,220,6,-1,0,unknown,no
정다은,010-9798-7823,27,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
임지우,010-3506-0368,36,blue-collar,divorced,secondary,no,638,yes,no,unknown,16,jun,1395,2,-1,0,unknown,yes
강채원,010-6718-9295,50,entrepreneur,married,tertiary,no,230,no,no,telephone,30,jul,1089,4,-1,0,unknown,yes
한지후,010-1728-3938,37,technician,single,tertiary,no,147,no,no,unknown,7,may,416,2,-1,0,unknown,no
강소율,010-6542-7603,25,admin.,single,secondary,no,483,no,yes,cellular,3,feb,189,1,-1,0,unknown,yes
안윤서,010-7960-5160,42,management,single,tertiary,no,525,no,no,cellular,13,aug,127,2,-1,0,unknown,no
류지호,010-8843-9010,32,self-employed,married,primary,no,102,yes,no,cellular,18,jul,560,1,-1,0,unknown,yes
이민서,010-3052-7383,41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes
오지원,010-5048-0120,33,admin.,married,secondary,no,2,yes,no,unknown,20,may,201,1,-1,0,unknown,no
윤소율,010-4606-2566,31,admin.,married,secondary,no,685,yes,no,cellular,15,may,552,1,329,3,failure,yes
김도윤,010-3881-2118,35,blue-collar,married,secondary,no,126,yes,no,cellular,16,apr,472,1,-1,0,unknown,no
정윤서,010-7583-6454,39,blue-collar,married,secondary,no,1756,yes,no,cellular,3,apr,939,1,-1,0,unknown,yes
박예은,010-8793-7314,52,retired,married,tertiary,no,350,no,yes,cellular,9,jul,156,1,-1,0,unknown,no
한예서,010-4577-5947,51,housemaid,married,primary,no,1337,no,no,telephone,30,jul,74,6,-1,0,unknown,no
박시우,010-4392-8447,28,blue-collar,married,secondary,no,948,yes,no,unknown,9,may,455,1,-1,0,unknown,no
윤서연,010-1381-9112,47,admin.,married,secondary,no,368,no,no,cellular,23,feb,269,1,187,5,success,yes
조서연,010-5179-9173,33,blue-collar,married,secondary,no,661,yes,no,cellular,18,jul,968,1,-1,0,unknown,yes
박서준,010-2162-7292,30,admin.,single,secondary,no,-36,no,no,cellular,16,jul,561,9,-1,0,unknown,yes
김지원,010-6405-4307,30,technician,single,tertiary,no,3,yes,no,unknown,7,may,174,1,-1,0,unknown,no
권지아,010-9629-5112,43,blue-collar,married,primary,no,3064,yes,no,cellular,20,nov,2453,2,-1,0,unknown,yes
박서윤,010-2895-8916,46,management,married,tertiary,no,242,no,no,cellular,4,aug,120,2,96,1,success,yes
김지민,010-6832-5300,69,technician,married,secondary,no,9064,no,no,cellular,7,aug,714,1,-1,0,unknown,yes
한하준,010-5258-7059,44,entrepreneur,married,tertiary,no,121,no,no,cellular,10,aug,412,1,-1,0,unknown,yes
오하윤,010-2137-9685,43,management,single,tertiary,no,1806,yes,no,cellular,12,aug,161,2,-1,0,unknown,no
서하준,010-8646-3418,35,management,married,tertiary,no,802,yes,no,cellular,6,may,686,2,-1,0,unknown,yes
강지우,010-9223-3411,26,blue-collar,single,primary,no,102,yes,no,unknown,16,may,46,1,-1,0,unknown,no
임서윤,010-6564-6930,46,housemaid,married,primary,no,3512,no,no,cellular,30,oct,175,1,197,1,failure,yes
장서연,010-9321-0524,52,services,married,secondary,no,992,yes,no,cellular,27,oct,424,1,515,1,failure,yes
안하준,010-0732-6502,35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure,yes
서민서,010-9981-7308,40,technician,married,secondary,no,990,yes,no,cellular,6,feb,252,3,-1,0,unknown,no
송시우,010-3727-8845,29,technician,single,tertiary,no,542,yes,no,unknown,9,may,338,3,-1,0,unknown,no
오서윤,010-0790-4162,39,blue-collar,married,secondary,no,62,yes,no,cellular,7,may,877,3,-1,0,unknown,yes
임하윤,010-0416-9281,48,management,married,primary,no,1513,no,no,cellular,29,jan,166,2,-1,0,unknown,no
임예준,010-3159-5215,37,technician,single,tertiary,no,0,yes,no,cellular,23,jul,366,6,-1,0,unknown,yes
오윤서,010-3678-1922,41,blue-collar,married,secondary,no,4910,yes,no,cellular,3,apr,1090,1,-1,0,unknown,no
조유진,010-0876-7871,32,management,single,tertiary,no,7290,yes,no,cellular,18,may,357,1,-1,0,unknown,yes
윤예은,010-6075-6763,29,blue-collar,single,secondary,no,202,no,no,cellular,30,jan,128,2,-1,0,unknown,no
박지유,010-8012-4230,57,management,married,secondary,no,0,no,no,cellular,28,jan,132,1,-1,0,unknown,no
이지유,010-9318-0990,47,housemaid,married,primary,no,0,yes,no,telephone,24,jul,193,1,-1,0,unknown,no
윤도윤,010-2000-9011,60,retired,married,tertiary,no,846,no,no,telephone,26,may,1346,1,-1,0,unknown,yes
